tmdb_id,series,status,release_date,runtime,overview,vote_average,vote_count,genres,keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,cast,crew,videos
279355,Namib,Returning Series,2025-01-06,0,"On Simmenau Farm, just outside Windhoek, Namibia, lives Ruben Lambrechts, a young man with a massive digital following: 1.2 million followers on Instagram, over 1.4 million on Facebook and almost 500 000 on TikTok. But it’s not Ruben who steals the spotlight – people can’t get enough of the antics of Cindy Crawford the baboon, meerkats Jerry and Minki, and a host of other animals who call Simmenau home.",9.0,1,Documentary,,Ruben in Namibië,/2wu5K5bcJAWuJ8do9jv0zsIoqHx.jpg,/ptcoAOewQOoWB5x5v1af7PRCMvb.jpg,0.1391,af,Documentary,2,1,https://www.dstv.com/kyknet/af-za/program/ruben-in-namibie,Ruben Lambrechts as Self | Barista Lambrechts as Self | Tertius Lambrechts as Self | Malan Lambrechts as Self,,Amptelike voorskou – Ruben in Namibië | kykNET (Trailer): 3vt8zSvdCF0
63351,Narcos,Ended,2015-08-28,0,A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.,8.047,2929,"Crime, Drama","cocaine, drug dealer, outlaw, drug cartel, conflict, drugs, illegal drugs, dea, narcotics, cartel, escobar, pablo escobar, narcos, colombia",Narcos,/rTmal9fDbwh5F0waol2hq35U4ah.jpg,/bT7pArYmcE91iCTec5H7pjrVbSu.jpg,34.1711,en,Scripted,30,3,http://www.netflix.com/title/80025172,Pedro Pascal as Javier Peña | Matias Varela as Jorge Salcedo | Damián Alcázar as Gilberto Rodríguez Orejuela | Francisco Denis as Miguel Rodríguez Orejuela | Alberto Ammann as Pacho Herrera | Pêpê Rapazote as Chepe Santacruz Londoño | Arturo Castro as David Rodriguez | Michael Stahl-David as Chris Feistl | Matt Whelan as Daniel Van Ness | Andrea Londo as Maria Salazar | Manolo Cardona as Eduardo Sandoval | Natalia Jerez as Aura,Jason George (Producer) | Pedro Bromfman (Original Music Composer),Opening Credits (Opening Credits): PtJ6yAGjsIs | Official Trailer 2 (Trailer): RNWAKZzgbp4
80968,Narcos Mexico,Ended,2018-11-16,0,See the rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in 1980s Mexico.,7.933,1369,"Drama, Crime","corruption, mexico, cocaine, tiger, usa–mexico border, based on true story, drug cartel, marijuana, mariachi, dea, 1980s, narcos, el chapo",Narcos: Mexico,/uYcZMiIIUv8NPebpqKbUGhf2M3y.jpg,/64jEzC7YeKEpnn1YwjCGRo9ZvOX.jpg,17.0028,en,Scripted,30,3,https://www.netflix.com/title/80997085,Scoot McNairy as Walt Breslin | José María Yázpik as Amado Carrillo Fuentes | Alejandro Edda as Joaquín 'El Chapo' Guzmán | Luis Gerardo Méndez as Victor Tapia | Matt Letscher as James 'Jaime' Kuykendall | Gorka Lasaosa as Héctor Luis Palma Salazar | Alfonso Dosal as Benjamín Arellano Felix | Mayra Hermosillo as Enedina Arellano Felix | Luisa Rubino as Andrea Nuñez | Manuel Masalva as Ramón Arellano Felix | Kristen Gutoskie as Dani | Bobby Soto as David Barron | Lorenzo Ferro as Alex Hodoyan | José Zúñiga as General Jesús Gutiérrez Rebollo | Alejandro Furth as Ramon Salgado,Wes Taylor (Producer) | Rafael Cuervo (Producer) | Kevin Kiner (Original Music Composer) | Gustavo Santaolalla (Original Music Composer) | Tim King (Producer),NARCOS Mexico | Opening Credits  / Intro | NETFLIX (Opening Credits): SwwfKlZc3gg | Narcos: Mexico | Mano a Mano [HD] | Netflix (Teaser): 4F7eu_n-ElQ | Narcos: Mexico | Date Announcement [HD] | Netflix (Teaser): ZsL4voedcJU | Narcos - Season 4 | Teaser [HD] I Netflix (Teaser): MJGkm0UwNRk
137437,National Treasure Edge of History,Canceled,2022-12-14,43,"While searching for history's greatest treasure, Jess Valenzuela unburies her family's secret past.",6.9,211,Action & Adventure,"treasure hunt, based on movie",National Treasure: Edge of History,/9VW8wF6KpG01fMY4erZ9bw7A4Er.jpg,/y2s4Xdi99Mu2Nh85Y89YZrbY5r6.jpg,7.2735,en,Scripted,10,1,https://www.disneyplus.com/series/national-treasure-edge-of-history/56O8Cwjk8CMp,Lisette Olivera as Jess Valenzuela | Catherine Zeta-Jones as Billie Pearce | Zuri Reed as Tasha Rivers | Antonio Cipriano as Oren Bradley | Jordan Rodrigues as Ethan Chao | Jake Austin Walker as Liam Sadusky | Lyndon Smith as Hannah Ross,,Gold Carpet Featurette (Featurette): fQ4XZTcGIBw | Scavenger Hunt (Featurette): 7Mntqim-rtc | Official Trailer (Trailer): QOTKWuIlmh8 | Behind-the-Scenes Featurette (Behind the Scenes): A1VBzSlg4HA | Teaser (Teaser): fmypBY9MlMI
120395,Navarasa,Ended,2021-08-06,34,"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series.",5.667,15,Drama,"love, anthology, india, emotions",நவரசா,/xOZbqK6xR2JkRBPFgENUHb6r6Qd.jpg,/dGwldIKMQeNzmLEc0hJAEVuund9.jpg,1.9498,ta,Miniseries,9,1,https://www.netflix.com/title/81362863,,Mani Ratnam (Producer) | Jayendra Panchapakesan (Producer),
119464,Navillera,Ended,2021-03-22,63,A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,8.6,192,Drama,"dreams, married couple, friendship, family relationships, ballet, second chance, inspiring, heartfelt, based on webcomic or webtoon",나빌레라,/dq16SAQOPj5Qs8SIU0C3dAh7k0a.jpg,/ylS5KdDgb8s4Y7P3sDifrizvmA4.jpg,3.7683,ko,Miniseries,12,1,http://program.tving.com/tvn/navillera,Park In-hwan as Sim Deok-chul | Song Kang as Lee Chae-rok | Na Moon-hee as Choi Hae-nam | Hong Seung-hee as Sim Eun-ho | Kim Tae-hun as Ki Seung-joo | Kim Soo-jin as Sim Seong-suk | Yoon Ji-hye as Eun So-ri | Lee So-yeong as Yoo An-na | Jung Hae-kyun as Sim Seong-san | Jo Bok-rae as Sim Seong-gwan | Shin Eun-jung as Kim Ae-ran | Jung Hee-tae as Young-il | Cho Seong-ha as Lee Moo-young | Kim Hyeon-mok as Kim Se-jong | Kim Kwon as Yang Ho-bum,Oh Hwan-min (Producer),Navillera | Official Trailer | Netflix [ENG SUB] (Trailer): YtK3Vtw4rno
243632,Nesting,Returning Series,2023-12-22,0,Unlikely best friends Anna and Rosa hunt for a baby daddy to fertilize their drying eggs so they can co-parent in a new version of family.,7.5,2,Comedy,,Nesting,/iiNx17cXIRqragmxPWj08jOdima.jpg,/fWA4wqNCLAxyPaOuRM4wxkUyF0c.jpg,1.5706,en,Scripted,8,1,https://www.crave.ca/en/tv-shows/nesting,Nicola Correia Damude as Shayla | Alexandra Castillo as Leia | Rachel Wilson as PJ | Lisa Berry as Jenny | Samer Salem as Khalil | Paul Popowich as Sasha | Anna Hardwick as Anna | Salvatore Antonio as Nico | Ryan Allen as Frederick | Carlos Gonzalez-Vio as Paco | Mike Shara as Simon | Rosa Laborde as Rosa | Christian Hansen as Hot Metal Dad,,Official Trailer (Trailer): AJA95q1PG9Q
100883,Never Have I Ever,Ended,2020-04-27,30,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular -- but friends, family and feeling won't make it easy on her.",8.089,1770,"Comedy, Drama","friendship, romance, coming of age, teen comedy, lgbt, loving, hilarious, joyful",Never Have I Ever,/hd5fnBixab6IzfUwjC5wfdbX3eM.jpg,/umVYLVZ7T85TkIHudxK799lPnLQ.jpg,17.9088,en,Scripted,40,4,https://www.netflix.com/title/80179190,Maitreyi Ramakrishnan as Devi Vishwakumar | Poorna Jagannathan as Dr. Nalini Vishwakumar | Jaren Lewison as Ben Gross | Darren Barnet as Paxton Hall-Yoshida | Lee Rodriguez as Fabiola Torres | Ramona Young as Eleanor Wong | John McEnroe as John McEnroe (voice) | Richa Shukla Moorjani as Kamala,Rhet Bear (Director of Photography),Never Have I Ever | Mindy Kaling & Maitreyi Ramakrishnan Celebrate Ganesh Puja Episode | Netflix (Behind the Scenes): jzVYRST0h3Q | Never Have I Ever | Official Trailer | Netflix (Trailer): HyOCCCbxwMQ | Never Have I Ever | Official Date Announce | Netflix (Teaser): 6b0XhByYzv4
94940,Never Twice,Canceled,2019-11-02,30,"An old stately inn stands in the heart of Seoul. It may be old, discolored, and weathered, but Nakwon Inn exudes old-world charms. As the typical cold uneventful winter comes to an end at the inn, guests start to arrive one by one as if each had promised to be present. Strangely and coincidentally, each one of them repeats Never Twice as they enter. The truth is, they all have a fateful reason to be there. What could have brought these individuals together? And what do they all have in common considering their long-term stay, assigned room numbers, gender, age, and hometown? The real reason for coming to Nakwon Inn unfolds.",8.309,81,,"rich family, camping trip, successor, seoul, south korea",두 번은 없다,/dnaF0rzytj8FeRNQRxumpFQgAu1.jpg,/ro3aRRZdbRgUKlpw2fnlE3kROEL.jpg,9.1128,ko,Scripted,72,1,,Park Se-wan as Geum Bak-Ha | Kwak Dong-yeon as Na Hae-Joon | Youn Yuh-jung as Bok Mak-Rye | Oh Ji-ho as Gam Poong-Ki | Ye Ji-won as Bang Eun-Ji | Park Ah-in as Na Hae-Ri | Park Joon-geum as Do Do-Hee | Hwang Young-hee as Oh In-Sook,Koo Hyun-sook (Writer) | Kim Hee-yeol (Producer),"[2차 티저] '두 번은 없다' 곽동연 ""당신들 정체가 뭐야?"" 박세완 ""가~족, 우리는 가족이예유"" (Trailer): 6tJD4OtE4Mk"
126035,Nevertheless,Ended,2021-06-19,69,The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.,7.427,179,Drama,"love triangle, love-hate relationship, playboy, romance, friends with benefits, based on webcomic or webtoon","알고있지만,",/cNj0AWyYkqIDXOUedO073Leqemk.jpg,/cPLtnxTlFpCIyH6AkGNuGCluvY1.jpg,10.3994,ko,Scripted,10,1,https://tv.jtbc.joins.com/nevertheless,Han So-hee as Yoo Na-bi | Song Kang as Park Jae-eon | Chae Jong-hyeop as Yang Do-hyeok | Lee Yul-eum as Yoon Seol-a | Yang Hye-ji as Oh Bit-na | Kim Min-gwi as Nam Gyu-hyun | Lee Ho-jung as Yoon Sol | Yoon Seo-ah as Seo Ji-wan | Jeong Jae-kwang as Ahn Kyeong-joon | Han Eu-ddeum as Jo Min-young | Lee Seung-hyub as Jung Joo-hyuk | Seo Hye-won as Jang Se-young | Lee Tae-hee as Sung Yoon | Lee Jung-ha as Kim Eun-han | Kim Moo-joon as Yoo Se-ho,Kim Ga-ram (Director) | Jung Won (Writer),"Nevertheless, | Official Trailer | Netflix [ENG SUB] (Trailer): xJCTxUuu3js"
