TMDB_ID,SERIES,STATUS,RELEASE_DATE,RUNTIME,OVERVIEW,Vote_Average,Vote_Count,Genres,Keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,Cast,Crew,Videos
211057,Berserk The Golden Age Arc Memorial Edition,Ended,2022-10-02,25,"The lone mercenary Guts travels a land where a century-old war is raging. His ferocity and skill in battle attract the attention of Griffith, the leader of a group of mercenaries called the Band of the Hawk. Guts becomes Griffith’s closest ally and confidant, but despite all their victories, Guts begins to question why he fights for another man’s dream of ruling his own kingdom. Unknown to Guts, Griffith’s unyielding ambition is about to bestow a horrible fate on them both.",8.7,93,"Action & Adventure, Drama, Animation, Sci-Fi & Fantasy","supernatural, gore, based on manga, based on movie, dark fantasy, seinen, anime, horror",ベルセルク 黄金時代篇 MEMORIAL EDITION,/anydQ5ORx268x9PBzLlRMkvVH5r.jpg,/7EK3R4xDEhsSgnwBjTQTJAHkngn.jpg,4.1899,ja,Scripted,13,1,https://berserk-me.com/,Hiroaki Iwanaga as Guts (voice) | Takahiro Sakurai as Griffith (voice) | Toa Yukinari as Casca (voice) | Kendo Kobayashi as Bazuso (voice) | Minako Kotobuki as Rickert (voice) | Takahiro Fujiwara as Pippin (voice) | Yoshiaki Matsumoto as Corkus (voice) | Yuki Kaji as Judeau (voice) | Kazuki Yao as Gaston (voice),Shiro Sagisu (Original Music Composer) | Toshiyuki Kubooka (Director) | Yuta Sano (Director) | Ichiro Okouchi (Screenplay),Official Trailer [Subtitled] (Trailer): H6dkuEdzaFY
61695,Beyond the Boundary,Ended,2013-10-02,24,"The dark fantasy follows a high school sophomore named Akihito Kanbara. Although the boy appears human, he is half Youmu and invulnerable to wounds because he can heal quickly. One day, Akihito meets freshman Mirai Kuriyama when it seems she is about to jump from the school rooftop. Mirai is isolated because of her ability to manipulate blood, which is considered heresy among members of the spirit world. Disturbing events begin to unfold after Akihito saves Mirai.",8.2,303,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy","monster, immortality, romance, school life, anime, based on light novel",境界の彼方,/6cmtMbEZAYm3aWzthFRk6048LFi.jpg,/93I7zPn0Afvp126PqNR3FdugNXH.jpg,5.8286,ja,Scripted,12,1,http://anime-kyokai.com/,KENN as Akihito Kanbara (voice) | Risa Taneda as Mirai Kuriyama (voice) | Ayako Kawasumi as Izumi Nase (voice) | Yuri Yamaoka as Ai Shindou (voice) | Moe Toyota as Sakura Inami (voice) | Minori Chihara as Mitsuki Nase (voice) | Masaya Matsukaze as Miroku Fujima (voice) | Naomi Shindo as Ayaka Shindou (voice) | Hiromi Konno as Yayoi Kanbara (voice) | Akeno Watanabe as Shizuku Ninomiya (voice) | Tatsuhisa Suzuki as Hiroomi Nase (voice),Shinichi Nakamura (Producer) | Riri Senami (Producer) | Masumi Itou (Original Music Composer) | Nagomu Torii (Novel) | Ryuta Nakagami (Director of Photography) | Shigeru Saito (Producer) | Gou Tanaka (Producer),Beyond the Boundary Complete Season Collection Trailer (Trailer): 46oBVKWEVUo | Beyond the Boundary English Dub Trailer - The Demons In All of Us (Trailer): 1RTWEP1B9oo | Beyond the Boundary - Opening (Opening Credits): h2pqW8qYhSI
50712,Black Butler,Returning Series,2008-10-02,24,"In Victorian London, 12-year-old business magnate Ciel Phantomhive thwarts dangers to the queen as he's watched over by his demon butler, Sebastian.",7.8,215,"Animation, Comedy, Drama, Mystery, Sci-Fi & Fantasy","london, england, circus, detective, butler, kidnapping, magic, supernatural, victorian england, revenge, dark comedy, gore, coming of age, bromance, based on manga, demon, historical, super power, united kingdom, dark fantasy, angst, shounen, anime, bishounen, drastic change of life, shinigami",黒執事,/iXGs130TRoUplHf0o86zp9MqAYc.jpg,/5U0dYTkHXPhoExNnEm5iKrpDqtr.jpg,24.9083,ja,Scripted,61,5,http://www.kuroshitsuji.tv,,Ryu Kawasaki (Original Music Composer) | Ryo Kawasaki (Original Music Composer),Black Butler Complete Blu-ray Set Trailer (Trailer): EoipHZFNXv0 | Black Butler: Season 1 - Official Trailer (Trailer): S8j5iEklHyI | Black Butler: Book of Circus - Opening | Enamel (Opening Credits): M22jx3PNxr0
73223,Black Clover,Ended,2017-10-03,24,"Asta and Yuno are two orphans who want the same thing: to become the Wizard King. Locked in a friendly rivalry, they work hard towards their goal. While Yuno excels at magic, Asta has a problem uncommon in this world: he has no powers! But, on the day they receive their grimoires, they surprise everyone. To reach their goal, they’ll each find their own path to greatness—with or without magic.",8.5,1940,"Action & Adventure, Animation, Comedy","magic, based on manga, super villain, wizard, shounen, anime, fantasy",ブラッククローバー,/kaMisKeOoTBPxPkbC3OW7Wgt6ON.jpg,/4RzRtLMlTeJvpvvdXDe854VLEG8.jpg,17.571,ja,Scripted,170,1,http://bclover.jp,"Gakuto Kajiwara as Asta (voice) | Nobunaga Shimazaki as Yuno (voice) | Kana Yuuki as Noelle Silva (voice) | Junichi Suwabe as Yami Sukehiro (voice) | Genki Muro as Magna Swing (voice) | Ayumu Murase as Luck Voltia (voice) | Jun Fukuyama as Finral Roulacase (voice) | Satoshi Hino as Gauche Adlai (voice) | Kiyono Yasuno as Charmy Papittoson (voice) | Nana Mizuki as Vanessa Enoteca (voice) | Minami Takahashi as Grey (voice) | Masayuki Akasaka as Grey, Transformed (voice) | Kenichirou Matsuda as Gordon Agrippa (voice) | Hikaru Midorikawa as Zora Ideale (voice) | Takuma Terashima as Klaus Lunette (voice)",Minako Seki (Original Music Composer) | Hatsuo Nara (Producer) | Tomoyuki Kunii (Director of Photography) | Maiko Isogai (Producer) | Masahiro Sugasawa (Producer),Black Clover Season 1 - Official Trailer (Trailer): QwNWY6z93O4 | Private Video (Opening Credits): GaV8dk-3kuo | Black Clover - Opening 3 | Black Rover (Opening Credits): dUiDZJMPh-s | Opening 1 | Distant Future - Kankaku Piero (Opening Credits): _6KZI74zKfE | Opening 2 | PAiNT it BLACK - BiSH (Opening Credits): 5zSx8QD-fkA
12598,Black Lagoon,Ended,2006-04-09,24,"The story follows a team of pirate mercenaries known as the Lagoon Company, that smuggles goods in and around the seas of Southeast Asia in the early to mid 1990s. Their base of operations is located in the fictional harbor city of Roanapur in southeast Thailand near the border of Cambodia.",8.035,462,"Action & Adventure, Animation, Drama, Crime","bounty hunter, island, mercenary, melancholy, arms dealer, smuggling (contraband), femme fatale, outlaw, revenge, gore, mafia, gunfight, pirate, terrorism, based on manga, biting, seinen, aggressive, criminal organization, anime, drastic change of life, furious, forceful, scathing",BLACK LAGOON,/sQlHhWScg6qmakL1ywtcjjVKKqV.jpg,/ijtcLjEHo7kFpQVg9NsATZsPayv.jpg,14.5075,ja,Scripted,24,1,http://www.blacklagoon.jp/,Megumi Toyoguchi as Revy (voice) | Daisuke Namikawa as Rock (voice) | Tsutomu Isobe as Dutch (voice) | Hiroaki Hirata as Benny (voice),Yukihiro Masumoto (Director of Photography) | Junya Okamoto (Producer) | Mitsutoshi Ogura (Producer) | Jun Nishimura (Producer) | Sunao Katabuchi (Screenplay) | Edison (Original Music Composer),Opening | Red Fraction - MELL (Opening Credits): dWfxcRj39tg | Trailer (Trailer): JsL9vhMfyrs
84553,Blade Runner Black Lotus,Ended,2021-11-14,22,"Los Angeles 2032. A young woman wakes up with no memories, and possessing deadly skills. The only clues to her mystery are a locked data device and a tattoo of a black lotus. Putting together the pieces, she must hunt down the people responsible for her brutal and bloody past to find the truth of her lost identity.",7.1,210,"Animation, Sci-Fi & Fantasy, Action & Adventure","artificial intelligence (a.i.), future, revenge, cyberpunk, anime",Blade Runner: Black Lotus,/aR06SJRDGqRmGQYXAXqeOkRZq7T.jpg,/WsVohNgPLwPXz3sIsrwFQ7FzmC.jpg,7.959,en,Scripted,13,1,,Jessica Henwick as Elle (voice) | Will Yun Lee as Joseph (voice) | Wes Bentley as Niander Wallace Jr. (voice) | Samira Wiley as Officer Alani Davis (voice),Al-Francis Cuenca (Producer) | Eugene Son (Producer) | Ben Cook (Producer) | Scott Parish (Producer) | Michael Hodges (Original Music Composer) | Gerald Trottman (Original Music Composer),Official Trailer (Trailer): KlmnXPRJbGg | Trailer (Trailer): eUu3lK_Z8VM | Opening Sequence (Opening Credits): nZhVHq8GjZI | Opening - Feel You Now (Opening Credits): 8V-KE7Jh35o | Official Trailer (Trailer): ahNgjVcq4sA
30984,Bleach Thousand Year Blood War,Returning Series,2004-10-05,24,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.",8.382,1920,"Action & Adventure, Animation, Sci-Fi & Fantasy","martial arts, swordplay, sword, training, friendship, supernatural, high school, based on manga, death, blade, fantasy world, shounen, anime, japanese high school, shinigami, parallel universe, supernatural ability, multiple realms, urban fantasy, exciting, adventure, adoring, urban adventure, spirits, ghosts, teen fantasy",BLEACH,/2EewmxXe72ogD0EaWM8gqa0ccIw.jpg,/o0NsbcIvsllg6CJX0FBFY8wWbsn.jpg,61.6655,ja,Scripted,406,2,https://bleach-anime.com,Masakazu Morita as Ichigo Kurosaki (voice) | Fumiko Orikasa as Rukia Kuchiki (voice) | Hiroki Yasumoto as Yasutora Sado (voice) | Yuki Matsuoka as Orihime Inoue (voice) | Noriaki Sugiyama as Uryu Ishida (voice),Yoshihiko Tominaga (Producer) | Tasuku Honda (Producer) | Makoto Hijikata (Producer) | Genki Negishi (Producer) | Kazuhiro Yamada (Director of Photography) | Shiro Sagisu (Original Music Composer),Opening 15 | Harukakanata - SCANDAL (Opening Credits): T6wo7bfYYu4 | Opening 14 | Blue - ViViD (Opening Credits): lTkCqZA4i3U | Opening 13 | Ranbu no Melody - SID (Opening Credits): 5emM3JGI5JA | Opening 12 | chAngE - miwa (Opening Credits): i0we6am_25g | Opening 11 | Anima Rossa - Porno Graffitti (Opening Credits): d3ze_mYwhR0
207347,Blue Box,Returning Series,2024-10-03,25,"Taiki Inomata loves badminton, but he has a long way to go before he can reach nationals. When Taiki sees upperclassman Chinatsu Kano practicing her heart out on the girls’ basketball team, he falls for her hard. After an unexpected turn of events brings the two closer together, sports might not be the first thing on their minds anymore!",8.1,33,"Animation, Comedy, Drama","adolescence, friendship, sports, high school, basketball, based on comic, romance, slice of life, school, based on manga, club, badminton, shounen, anime",アオのハコ,/mVAWCCNBxPX3EUf9XhcFff4wW5V.jpg,/8p39Ud6ZKMixBQ7R4frg2o3idzc.jpg,11.3444,ja,Scripted,25,2,https://aonohako-anime.com,Shoya Chiba as Taiki Inomata (voice) | Reina Ueda as Chinatsu Kano (voice) | Akari Kito as Hina Chono (voice) | Chiaki Kobayashi as Kyo Kasahara (voice) | Yuma Uchida as Kengo Haryu (voice) | Shogo Sakata as Ryosuke Nishida (voice),Yuki Kawashita (Director of Photography) | Takashi Ohmama (Original Music Composer),Official Trailer [Subtitled] (Trailer): tcK9Eghsfq8 | Official Teaser Trailer 2 [English Sub] (Teaser): 9iX6uodwBnw | Official Teaser Trailer 1 [English Sub] (Teaser): CjiohCSsWlw
38464,Blue Exorcist,Ended,2011-04-17,24,"Humans live in the world of Assiah, demons in Gehenna. The two dimensions are not meant to interfere with each other, but demons still possess creatures in Assiah in spite of this. The humans who can fight these demons are known as exorcists. Rin Okumura is a boy who bears the curse of being Satan's illegitimate son. His foster father sacrificed himself to save him from demons. To avenge his foster father's death as well as to prove himself, Rin decides to follow the path of an exorcist and defeat his own father, Satan. To hone his raw skills, Rin enters True Cross Academy to train with other exorcist candidates.",7.901,465,"Animation, Sci-Fi & Fantasy, Mystery, Action & Adventure","vatican (holy see), shapeshifting, sword, magic, exorcism, supernatural, priest, tragedy, school, religion, sibling rivalry, based on manga, demon, super power, cross, exorcist, dark fantasy, shounen, anime, drastic change of life",青の祓魔師,/kpNoqNmElzGUEcEoZyfFwvYXMsR.jpg,/wJzHFl5mq6JFbD6equTleJuzlnk.jpg,21.4204,ja,Scripted,73,5,https://www.ao-ex.com,Hiroshi Kamiya as Mephisto Pheles (voice),,-Shimane Illuminati Saga- Opening | Eye’s Sentry - UVERworld (Opening Credits): nKTLOdjWBCM | S1 Opening 1 | CORE PRIDE - UVERworld [Creditless] | [Subtitled] (Opening Credits): I9fCo1mQayo | S1 Opening 2 | In My World - ROOKiEZ is PUNK'D (Opening Credits): XneysPZJYqk | Trailer #3 [Subtitled] (Trailer): ayLq7BKjQZU | Trailer #2 [Subtitled] (Trailer): 8NxneeQpRSA
234776,Blue Miburo,Returning Series,2024-10-19,23,"The year is 1863, with the story being based in Kyoto. We follow a youth named Nio who is an honest and kind soul who's considerate of his family, yet he also has a hidden burning passion for seeking justice. From the time he came across Toshizou Hijikata and Souji Okita, members from a group of hated ronin known as the Miburo, his life then takes a turn to a bluer, and clearer path. Nio, alongside the other men whose hearts burn bravely and true, step forth towards an honest path with their blue wills adorned on their hearts!",8.4,11,"Animation, Action & Adventure","samurai, based on manga, historical, kyoto, japan, edo period, shinsengumi, shounen, anime, bakumatsu",青のミブロ,/kvHZFBVyGe4uLwkQwkyMvhuDxUi.jpg,/s2P0DYSeMrqNh4L7hGXP3Xs5kbA.jpg,4.1535,ja,Scripted,24,1,https://miburoanime.com,Shuichiro Umeda as Nio Chirinu (voice) | Chiaki Kobayashi as Hajime Saito (voice) | Shun Horie as Taro Tanaka (voice) | Yohei Azakami as Toshizo Hijikata (voice) | Kensho Ono as Soji Okita (voice) | Ryota Takeuchi as Kamo Serizawa (voice) | Tomokazu Sugita as Isami Kondo (voice),Yuki Hayashi (Original Music Composer) | Hiroya Nakata (Producer) | Satoshi Suzuki (Producer) | Harumi Sato (Producer) | Yukina Nomura (Director of Photography),
